SEQENCE_ID                     TM SP PREDICTION
cgd3_2040-RA-p1                 1  0 i537-556o
cgd3_2050-RA-p1                 0  0 o
cgd3_2060-RA-p1                 0  0 o
cgd3_2070-RA-p1                 0  0 o
cgd3_2080-RA-p1                 9  0 i7-28o34-58i282-300o329-349i361-382o388-406i427-449o455-476i483-500o
cgd3_2083-RA-p1                 0  0 o
cgd3_2090-RA-p1                 0  0 o
cgd3_210-RA-p1                  2  0 o435-455i487-508o
cgd3_2100-RA-p1                 0  0 o
cgd3_2110-RA-p1                 0  0 o
cgd3_2120-RA-p1                 0  0 o
cgd3_2130-RA-p1                 0  Y n8-19c23/24o
cgd3_2140-RA-p1                 0  0 o
cgd3_2150-RA-p1                 6  0 i9-28o48-66i73-93o105-126i147-169o201-224i
cgd3_2160-RA-p1                 0  0 o
cgd3_2170-RA-p1                 0  0 o
cgd3_2180-RA-p1                 0  0 o
cgd3_2190-RA-p1                 0  0 o
cgd3_220-RA-p1                  0  0 o
cgd3_2200-RA-p1                 0  0 o
cgd3_2210-RA-p1                 0  0 o
cgd3_2220-RA-p1                 0  0 i
cgd3_2230-RA-p1                 0  0 o
cgd3_2240-RA-p1                 0  0 o
cgd3_2250-RA-p1                 0  0 i
cgd3_2260-RA-p1                 0  0 o
cgd3_2270-RA-p1                 0  0 o
cgd3_2280-RA-p1                 0  0 o
cgd3_2293-RA-p1                 1  0 o343-363i
cgd3_230-RA-p1                  0  0 o
cgd3_2310-RA-p1                 0  0 o
cgd3_2320-RA-p1                 6  0 i91-111o123-146i153-171o191-209i216-238o244-261i
cgd3_2322-RA-p1                 6  0 o160-180i187-214o234-265i286-316o322-341i485-505o
cgd3_2323-RA-p1                 0  0 o
cgd3_2330-RA-p1                 0  0 o
cgd3_2340-RA-p1                 0  0 o
cgd3_2350-RA-p1                 0  0 o
cgd3_2353-RA-p1                 0  0 o
cgd3_2360-RA-p1                 0  0 o
cgd3_2370-RA-p1                 0  0 o
cgd3_2380-RA-p1                 1  0 i80-102o
cgd3_2390-RA-p1                 0  0 o
cgd3_240-RA-p1                  0  0 o
cgd3_2400-RA-p1                 0  0 o
cgd3_2410-RA-p1                 0  0 o
cgd3_2423-RA-p1                 2  0 i397-415o427-449i
cgd3_2440-RA-p1                 0  0 o
cgd3_2450-RA-p1                 0  0 o
cgd3_2460-RA-p1                 5  0 o50-69i131-149o155-179i235-264o284-304i
cgd3_2470-RA-p1                 0  0 o
cgd3_2480-RA-p1                 0  0 o
cgd3_2490-RA-p1                 0  0 o
cgd3_250-RA-p1                  0  0 o
cgd3_2500-RA-p1                 1  0 o45-64i
cgd3_2503-RA-p1                 0  0 o
cgd3_2510-RA-p1                 0  0 o
cgd3_2520-RA-p1                 0  0 o
cgd3_2530-RA-p1                 0  0 o
cgd3_2540-RA-p1                 0  0 i
cgd3_2550-RA-p1                 0  0 o
cgd3_2560-RA-p1                 1  0 o295-314i
cgd3_2570-RA-p1                 0  0 i
cgd3_2580-RA-p1                 0  0 o
cgd3_2590-RA-p1                 0  0 o
cgd3_260-RA-p1                  0  0 o
cgd3_2600-RA-p1                 4  0 o461-478i617-636o685-702i733-750o
cgd3_2610-RA-p1                 0  0 o
cgd3_2620-RA-p1                 0  0 o
cgd3_2630-RA-p1                 1  0 i50-71o
cgd3_2640-RA-p1                 0  0 o
cgd3_2650-RA-p1                 1  0 o1594-1613i
cgd3_2660-RA-p1                 0  0 o
cgd3_2670-RA-p1                 0  0 o
cgd3_2680-RA-p1                 0  Y n10-22c30/31o
cgd3_2690-RA-p1                 2  0 i59-78o603-621i
cgd3_270-RA-p1                  0  0 o
cgd3_2700-RA-p1                 0  0 o
cgd3_2710-RA-p1                 0  0 o
cgd3_2730-RA-p1                10  0 i55-72o78-98i291-317o337-366i878-898o918-941i962-983o995-1014i1026-1051o1063-1087i
cgd3_2740-RA-p1                 0  0 o
cgd3_2750-RA-p1                 0  0 o
cgd3_2760-RA-p1                 0  0 o
cgd3_2770-RA-p1                 0  0 o
cgd3_2780-RA-p1                 1  0 o928-949i
cgd3_2790-RA-p1                 0  0 o
cgd3_280-RA-p1                  0  0 o
cgd3_2800-RA-p1                 0  0 o
cgd3_2810-RA-p1                 0  0 o
cgd3_2820-RA-p1                 0  0 o
cgd3_2830-RA-p1                 0  0 o
cgd3_2840-RA-p1                 0  0 o
cgd3_2843-RA-p1                 0  0 o
cgd3_2850-RA-p1                 0  0 o
cgd3_2860-RA-p1                 0  0 o
cgd3_2870-RA-p1                 0  0 o
cgd3_2880-RA-p1                 0  0 o
cgd3_2890-RA-p1                 0  0 o
cgd3_290-RA-p1                  0  0 o
cgd3_2900-RA-p1                 0  0 o
cgd3_2910-RA-p1                 0  0 o
cgd3_2920-RA-p1                 0  0 o
cgd3_2930-RA-p1                 0  0 o
cgd3_2940-RA-p1                 0  0 o
cgd3_2950-RA-p1                 0  0 o
cgd3_2960-RA-p1                 0  0 o
cgd3_2970-RA-p1                 0  0 o
cgd3_2980-RA-p1                 1  0 i783-801o
cgd3_2990-RA-p1                 6  Y n6-18c23/24o135-157i178-205o396-421i441-463o489-512i1005-1027o
cgd3_30-RA-p1                  11  0 i41-60o80-101i113-134o162-189i223-242o262-279i286-308o314-334i346-364o384-405i417-441o
cgd3_300-RA-p1                  0  0 o
cgd3_3000-RA-p1                 0  0 o
cgd3_3010-RA-p1                 5  0 o797-817i1002-1022o1042-1061i1070-1088o2342-2360i
cgd3_3020-RA-p1                 0  0 o
cgd3_3030-RA-p1                 0  0 o
cgd3_3040-RA-p1                 1  0 i157-174o
cgd3_3050-RA-p1                 0  0 o
cgd3_3060-RA-p1                 0  0 o
cgd3_3063-RA-p1                 0  0 o
cgd3_3070-RA-p1                 0  0 o
cgd3_3073-RA-p1                 0  0 o
cgd3_3080-RA-p1                 0  0 o
cgd3_3090-RA-p1                 0  0 o
cgd3_310-RA-p1                  1  0 o1750-1768i
cgd3_3100-RA-p1                11  0 o105-127i134-152o164-182i194-216o228-248i357-376o396-420i432-452o458-484i496-519o547-570i
cgd3_3110-RA-p1                 0  0 o
cgd3_3120-RA-p1                 2  0 i165-186o228-251i
cgd3_3130-RA-p1                 0  0 o
cgd3_3140-RA-p1                 0  0 o
cgd3_3150-RA-p1                 0  0 o
cgd3_3160-RA-p1                 4  0 o94-114i126-144o175-199i230-257o
cgd3_3170-RA-p1                 0  0 o
cgd3_3180-RA-p1                 0  0 o
cgd3_3190-RA-p1                 0  0 o
cgd3_320-RA-p1                  0  0 o
cgd3_3200-RA-p1                 0  0 o
cgd3_3210-RA-p1                 0  0 o
cgd3_3220-RA-p1                 0  0 o
cgd3_3230-RA-p1                 0  0 o
cgd3_3240-RA-p1                 0  0 o
cgd3_3250-RA-p1                 3  0 i93-112o151-172i179-199o
cgd3_3260-RA-p1                 0  0 i
cgd3_3270-RA-p1                 0  0 o
cgd3_3280-RA-p1                 0  0 o
cgd3_3290-RA-p1                 2  0 i7-23o88-112i
cgd3_330-RA-p1                  0  0 o
cgd3_3300-RA-p1                 0  0 o
cgd3_3310-RA-p1                 0  0 o
cgd3_3320-RA-p1                 0  0 o
cgd3_3330-RA-p1                 0  0 o
cgd3_3340-RA-p1                 0  0 o
cgd3_3350-RA-p1                 0  0 o
cgd3_3360-RA-p1                 0  0 o
cgd3_3370-RA-p1                 1  Y n8-23c28/29o1194-1213i
cgd3_3380-RA-p1                 0  0 o
cgd3_3390-RA-p1                 3  0 o446-465i486-503o1113-1135i
cgd3_340-RA-p1                  5  0 i27-50o70-89i110-126o132-153i323-345o
cgd3_3400-RA-p1                 0  0 o
cgd3_3410-RA-p1                 0  0 o
cgd3_3420-RA-p1                 4  0 i159-180o186-204i225-246o252-275i
cgd3_343-RA-p1                  1  0 o34-53i
cgd3_3430-RA-p1                 0  Y n7-15c20/21o
cgd3_3440-RA-p1                 0  0 o
cgd3_3450-RA-p1                 0  0 i
cgd3_3460-RA-p1                 0  0 o
cgd3_3470-RA-p1                 0  0 o
cgd3_3480-RA-p1                 3  0 o949-971i992-1012o2312-2329i
cgd3_3490-RA-p1                 1  0 o613-632i
cgd3_350-RA-p1                  0  0 o
cgd3_3500-RA-p1                 0  0 o
cgd3_3510-RA-p1                 0  0 o
cgd3_3520-RA-p1                12  Y n4-12c16/17o99-120i141-161o173-196i217-235o241-257i655-672o705-728i778-798o818-836i848-870o890-911i918-935o
cgd3_3533-RA-p1                 0  0 o
cgd3_3550-RA-p1                 0  Y n8-19c24/25o
cgd3_3560-RA-p1                 2  0 i544-565o577-600i
cgd3_3570-RA-p1                 0  0 o
cgd3_3580-RA-p1                 0  0 o
cgd3_3583-RA-p1                 1  0 i62-80o
cgd3_3590-RA-p1                10  0 o51-72i161-179o218-249i269-292o321-344i356-373o379-398i410-427o433-450i601-621o
cgd3_360-RA-p1                  0  0 o
cgd3_3600-RA-p1                 0  0 o
cgd3_3610-RA-p1                 0  0 o
cgd3_3620-RA-p1                 5  0 o904-923i968-992o998-1024i1143-1164o1176-1193i
cgd3_3630-RA-p1                 1  0 o385-402i
cgd3_3640-RA-p1                 0  Y n14-25c33/34o
cgd3_3650-RA-p1                 0  0 o
cgd3_3660-RA-p1                 0  0 o
cgd3_3670-RA-p1                 0  0 o
cgd3_3680-RA-p1                 2  0 o215-235i342-359o
cgd3_3690-RA-p1                 0  0 o
cgd3_370-RA-p1                  0  0 o
cgd3_3700-RA-p1                 1  0 i7-26o
cgd3_3710-RA-p1                 0  0 o
cgd3_3720-RA-p1                 0  0 o
cgd3_3730-RA-p1                 0  0 i
cgd3_3740-RA-p1                 7  0 o239-258i354-375o409-428i440-465o485-502i727-749o784-811i
cgd3_3750-RA-p1                 0  0 o
cgd3_3760-RA-p1                 0  0 i
cgd3_3770-RA-p1                 0  0 o
cgd3_3780-RA-p1                 0  0 o
cgd3_3790-RA-p1                 0  0 o
cgd3_380-RA-p1                  0  0 o
cgd3_3800-RA-p1                 0  0 o
cgd3_3810-RA-p1                 0  0 o
cgd3_3820-RA-p1                 0  0 o
cgd3_3830-RA-p1                 0  0 o
cgd3_3840-RA-p1                 0  0 o
cgd3_3850-RA-p1                 0  0 o
cgd3_3860-RA-p1                 0  0 o
cgd3_3870-RA-p1                 0  0 o
cgd3_3880-RA-p1                 0  0 o
cgd3_3890-RA-p1                 0  0 i
cgd3_390-RA-p1                  0  0 o
cgd3_3900-RA-p1                 0  0 o
cgd3_3910-RA-p1                 0  0 o
cgd3_3920-RA-p1                 0  0 o
cgd3_3930-RA-p1                 0  0 i
cgd3_3940-RA-p1                 1  0 i81-104o
cgd3_3950-RA-p1                 0  0 o
cgd3_3960-RA-p1                 0  0 o
cgd3_3970-RA-p1                 0  0 o
cgd3_3980-RA-p1                 0  0 o
cgd3_3990-RA-p1                 0  0 o
cgd3_40-RA-p1                   0  0 o
cgd3_400-RA-p1                  1  0 o425-445i
cgd3_4000-RA-p1                 0  0 o
cgd3_4010-RA-p1                 0  0 o
cgd3_4020-RA-p1                 0  0 o
cgd3_4030-RA-p1                 7  0 i36-55o75-92i104-122o128-148i160-177o183-201i221-246o
cgd3_4040-RA-p1                 1  0 o26-51i
cgd3_4050-RA-p1                 0  0 o
cgd3_4060-RA-p1                 0  0 o
cgd3_4070-RA-p1                11  Y n8-19c24/25o58-80i87-105o111-133i145-169o181-207i272-293o313-331i343-364o376-400i412-434o440-458i
cgd3_4080-RA-p1                 0  0 o
cgd3_4090-RA-p1                 4  0 o1089-1108i1417-1436o1456-1474i2247-2267o
cgd3_410-RA-p1                 12  0 i111-130o166-187i309-331o337-362i410-440o460-479i992-1014o1058-1076i1134-1155o1161-1177i1249-1268o1274-1299i
cgd3_4100-RA-p1                 0  0 o
cgd3_4110-RA-p1                 0  0 o
cgd3_4120-RA-p1                 0  0 o
cgd3_4130-RA-p1                 0  0 o
cgd3_4140-RA-p1                13  0 o43-64i84-108o128-146i355-372o378-396i589-611o617-642i1171-1194o1200-1219i1240-1258o1295-1313i1325-1344o1392-1416i
cgd3_4150-RA-p1                 0  0 o
cgd3_4160-RA-p1                 0  0 o
cgd3_4170-RA-p1                 2  0 i7-24o1075-1097i
cgd3_4180-RA-p1                 0  Y n3-11c16/17o
cgd3_4190-RA-p1                 1  Y n4-15c23/24o645-665i
cgd3_420-RA-p1                  1  0 o641-662i
cgd3_4200-RA-p1                 0  Y n20-30c34/35o
cgd3_4210-RA-p1                 0  Y n7-18c23/24o
cgd3_4220-RA-p1                 0  Y n16-27c32/33o
cgd3_4230-RA-p1                 0  Y n11-21c25/26o
cgd3_4240-RA-p1                 0  0 o
cgd3_4250-RA-p1                 0  0 o
cgd3_4260-RA-p1                 2  0 o6-35i683-703o
cgd3_4270-RA-p1                 1  Y n7-18c23/24o685-702i
cgd3_4280-RA-p1                 0  Y n8-21c26/27o
cgd3_4290-RA-p1                 0  0 o
cgd3_430-RA-p1                  1  0 o3653-3676i
cgd3_4300-RA-p1                 1  0 o192-215i
cgd3_4310-RA-p1                 0  0 o
cgd3_4330-RA-p1                 0  0 o
cgd3_4340-RA-p1                 0  0 o
cgd3_4350-RA-p1                11  0 i41-62o74-97i118-138o158-176i188-212o232-253i265-291o311-329i440-457o463-485i497-519o
cgd3_4360-RA-p1                 0  Y n5-16c23/24o
cgd3_440-RA-p1                  1  0 o280-303i
cgd3_450-RA-p1                  0  0 o
cgd3_453-RA-p1                  0  0 o
cgd3_460-RA-p1                  0  0 o
cgd3_470-RA-p1                 12  0 o14-32i39-59o65-82i131-150o179-196i203-225o253-274i286-308o328-354i443-463o469-493i500-519o
cgd3_480-RA-p1                  0  Y n9-22c27/28o
cgd3_483-RA-p1                  1  Y n4-15c23/24o132-153i
cgd3_490-RA-p1                  8  0 i27-50o62-84i116-132o144-163i170-188o194-214i235-256o268-286i
cgd3_50-RA-p1                   0  Y n3-13c18/19o
cgd3_500-RA-p1                 10  0 i21-39o59-78i109-131o137-154i161-179o185-206i227-246o258-279i291-311o317-336i
cgd3_510-RA-p1                  8  0 o25-45i57-77o97-116i128-148o154-171i183-202o214-233i245-269o
cgd3_520-RA-p1                  1  Y n11-19c24/25o661-682i
cgd3_530-RA-p1                  0  Y n14-25c32/33o
cgd3_540-RA-p1                 12  0 o20-38i67-86o92-112i124-145o151-174i194-214o280-302i323-345o351-369i381-402o414-432i444-468o
cgd3_550-RA-p1                 12  0 i62-79o106-128i135-157o163-181i193-215o227-249i300-322o349-366i378-398o404-425i432-450o470-488i
cgd3_560-RA-p1                  0  Y n8-23c31/32o
cgd3_570-RA-p1                  0  Y n6-16c21/22o
cgd3_580-RA-p1                  1  Y n10-18c23/24o603-623i
cgd3_590-RA-p1                  4  0 o63-83i104-122o134-154i175-199o
cgd3_60-RA-p1                   0  0 o
cgd3_600-RA-p1                  0  Y n3-13c17/18o
cgd3_610-RA-p1                  5  0 i46-71o158-182i194-214o226-244i251-269o
cgd3_620-RA-p1                  7  0 i12-30o36-57i64-81o87-111i118-143o149-177i189-218o
cgd3_630-RA-p1                  0  Y n11-22c27/28o
cgd3_640-RA-p1                  0  0 o
cgd3_650-RA-p1                  0  Y n3-14c22/23o
cgd3_660-RA-p1                  0  0 o
cgd3_670-RA-p1                  0  Y n8-17c24/25o
cgd3_680-RA-p1                  0  0 o
cgd3_690-RA-p1                 11  0 i100-119o150-174i228-253o265-289i869-894o966-987i1046-1064o1070-1089i1096-1112o1156-1178i1190-1208o
cgd3_693-RA-p1                  0  Y n10-21c26/27o
cgd3_70-RA-p1                   0  0 o
cgd3_710-RA-p1                  0  Y n10-21c29/30o
cgd3_720-RA-p1                  0  Y n10-20c24/25o
cgd3_730-RA-p1                  1  0 i23-45o
cgd3_740-RA-p1                  7  0 o78-97i109-133o170-193i200-218o224-249i256-273o285-305i
cgd3_750-RA-p1                  0  0 i
cgd3_753-RA-p1                  0  0 o
cgd3_760-RA-p1                  0  0 o
cgd3_770-RA-p1                  0  0 o
cgd3_780-RA-p1                  0  0 o
cgd3_790-RA-p1                  0  0 o
cgd3_80-RA-p1                   0  0 o
cgd3_800-RA-p1                  0  0 o
cgd3_810-RA-p1                  0  0 o
cgd3_820-RA-p1                  1  Y n5-16c21/22o112-136i
cgd3_830-RA-p1                  0  0 o
cgd3_840-RA-p1                  0  0 o
cgd3_850-RA-p1                  0  0 o
cgd3_860-RA-p1                  0  0 o
cgd3_870-RA-p1                  0  Y n6-11c16/17o
cgd3_880-RA-p1                  0  0 o
cgd3_890-RA-p1                  0  0 i
cgd3_90-RA-p1                   0  Y n6-17c22/23o
cgd3_900-RA-p1                  0  0 o
cgd3_910-RA-p1                  0  0 o
cgd3_920-RA-p1                  0  0 o
cgd3_923-RA-p1                  0  0 o
cgd3_930-RA-p1                  0  0 o
cgd3_940-RA-p1                  0  0 o
cgd3_950-RA-p1                  0  0 o
cgd3_960-RA-p1                  2  0 i12-32o81-105i
cgd3_970-RA-p1                  1  0 o85-110i
cgd3_980-RA-p1                  7  0 i49-71o94-116i128-151o157-180i189-208o214-233i245-266o
cgd3_990-RA-p1                  0  0 i
cgd4_10-RA-p1                   0  Y n6-17c25/26o
cgd4_100-RA-p1                  3  0 o62-83i95-116o158-177i
cgd4_1000-RA-p1                 0  Y n48-56c61/62o
cgd4_1010-RA-p1                 3  0 o1397-1417i1585-1605o1813-1830i
cgd4_1020-RA-p1                 2  0 o28-44i172-189o
cgd4_1030-RA-p1                 0  0 o
cgd4_1040-RA-p1                 0  0 o
cgd4_1070-RA-p1                 0  0 o
cgd4_1080-RA-p1                 1  0 i12-29o
cgd4_1090-RA-p1                 0  0 o
cgd4_110-RA-p1                  0  0 o
cgd4_1100-RA-p1                 0  0 o
cgd4_1103-RA-p1                 2  0 o49-67i120-137o
cgd4_1110-RA-p1                 0  0 o
cgd4_1120-RA-p1                 1  0 o408-427i
cgd4_1130-RA-p1                 0  Y n3-11c16/17o
cgd4_1133-RA-p1                 0  Y n6-15c20/21o
cgd4_1140-RA-p1                 0  0 o
cgd4_1150-RA-p1                 1  0 i21-40o
cgd4_1160-RA-p1                 1  0 o576-592i
cgd4_1170-RA-p1                 0  0 o
cgd4_1180-RA-p1                 1  Y n3-13c18/19o53-74i
cgd4_1190-RA-p1                 0  0 o
cgd4_120-RA-p1                  0  0 o
cgd4_1200-RA-p1                 0  0 o
cgd4_1210-RA-p1                 0  0 o
cgd4_1220-RA-p1                 0  0 o
cgd4_123-RA-p1                  1  0 o20-48i
cgd4_1230-RA-p1                 0  0 o
cgd4_1240-RA-p1                 0  0 o
cgd4_1250-RA-p1                 0  0 o
cgd4_1260-RA-p1                 0  0 o
cgd4_1270-RA-p1                 0  0 o
cgd4_1283-RA-p1                 0  0 o
cgd4_130-RA-p1                  0  0 o
cgd4_1300-RA-p1                 1  Y n5-16c21/22o444-466i
cgd4_1310-RA-p1                 0  0 o
cgd4_1320-RA-p1                 3  0 o383-401i463-489o501-527i
cgd4_1330-RA-p1                 1  0 o618-636i
cgd4_1340-RA-p1                 0  0 o
cgd4_1350-RA-p1                 0  0 o
cgd4_1360-RA-p1                 1  0 o29-47i
cgd4_1370-RA-p1                12  0 i108-134o146-166i232-251o263-283i346-365o845-867i888-914o926-948i969-985o991-1009i1082-1101o1107-1123i
cgd4_1380-RA-p1                14  0 i92-110o130-150i225-243o249-268i334-353o365-390i745-763o783-805i817-839o845-868i924-943o949-971i1042-1058o1070-1091i
cgd4_1390-RA-p1                16  0 o100-121i133-154o160-178i218-238o244-265i324-347o367-387i653-677o820-839i860-881o893-913i934-954o960-979i1027-1044o1050-1068i1080-1103o
cgd4_140-RA-p1                  0  0 o
cgd4_1400-RA-p1                 0  0 o
cgd4_1410-RA-p1                 1  0 i33-52o
cgd4_1420-RA-p1                 0  0 o
cgd4_1430-RA-p1                 0  0 o
cgd4_1450-RA-p1                 0  0 o
cgd4_1460-RA-p1                 1  0 o24-44i
cgd4_1470-RA-p1                 8  0 i450-468o474-491i503-523o590-611i623-646o689-711i808-828o840-861i
cgd4_1480-RA-p1                 0  0 o
cgd4_1490-RA-p1                 0  0 o
cgd4_150-RA-p1                  0  0 o
cgd4_1500-RA-p1                 0  0 o
cgd4_1510-RA-p1                 0  0 o
cgd4_1513-RA-p1                 0  0 o
cgd4_1520-RA-p1                 0  0 o
cgd4_1530-RA-p1                 0  Y n7-18c23/24o
cgd4_1540-RA-p1                 0  0 o
cgd4_1543-RA-p1                 0  0 i
cgd4_1560-RA-p1                 0  0 i
cgd4_1570-RA-p1                 0  0 o
cgd4_1580-RA-p1                 0  0 o
cgd4_1590-RA-p1                 0  0 o
cgd4_160-RA-p1                  1  0 i96-117o
cgd4_1600-RA-p1                 0  0 o
cgd4_1610-RA-p1                 0  0 o
cgd4_1620-RA-p1                 0  0 o
cgd4_1630-RA-p1                 0  0 o
cgd4_1640-RA-p1                 0  0 o
cgd4_1650-RA-p1                 0  0 o
cgd4_1660-RA-p1                 0  0 i
cgd4_1670-RA-p1                 1  Y n15-26c30/31o168-191i
cgd4_1680-RA-p1                 2  0 o183-207i292-310o
cgd4_1690-RA-p1                 0  0 o
cgd4_170-RA-p1                  0  0 o
cgd4_1700-RA-p1                 0  0 o
cgd4_1710-RA-p1                 0  0 o
cgd4_1720-RA-p1                 0  0 o
cgd4_1730-RA-p1                 1  0 i183-202o
cgd4_1740-RA-p1                 0  0 o
cgd4_1750-RA-p1                 2  0 i39-57o69-89i
cgd4_1760-RA-p1                 6  0 i166-186o192-213i383-408o414-434i490-510o583-604i
cgd4_1770-RA-p1                 0  0 o
cgd4_1780-RA-p1                 0  0 o
cgd4_1790-RA-p1                 4  0 i26-48o54-79i91-113o119-146i
cgd4_180-RA-p1                  0  0 o
cgd4_1800-RA-p1                 0  0 o
cgd4_1810-RA-p1                 2  0 i64-80o86-106i
cgd4_1820-RA-p1                 0  0 o
cgd4_1830-RA-p1                 0  0 o
cgd4_1840-RA-p1                 0  0 o
cgd4_1850-RA-p1                 0  0 o
cgd4_1860-RA-p1                10  0 i70-90o102-122i167-186o192-215i284-305o317-338i380-407o427-453i465-484o490-509i
cgd4_1870-RA-p1                 0  0 o
cgd4_1880-RA-p1                 0  0 o
cgd4_1890-RA-p1                 0  0 o
cgd4_190-RA-p1                  2  0 o1136-1152i1777-1796o
cgd4_1900-RA-p1                 0  0 o
cgd4_1910-RA-p1                 1  0 o39-58i
cgd4_1920-RA-p1                 0  0 o
cgd4_1930-RA-p1                 0  0 o
cgd4_1940-RA-p1                 0  0 o
cgd4_1950-RA-p1                 0  0 o
cgd4_1960-RA-p1                 0  0 o
cgd4_1970-RA-p1                 1  0 o103-123i
cgd4_1980-RA-p1                 2  0 i196-213o219-242i
cgd4_1990-RA-p1                 0  0 o
cgd4_20-RA-p1                   1  Y n11-22c27/28o213-239i
cgd4_200-RA-p1                  0  0 o
cgd4_2000-RA-p1                 0  0 o
cgd4_2010-RA-p1                 0  0 o
cgd4_2020-RA-p1                 0  0 o
cgd4_2030-RA-p1                 0  0 i
cgd4_2032-RA-p1                 0  0 o
cgd4_2033-RA-p1                 2  0 i12-29o35-55i
cgd4_2040-RA-p1                 0  0 o
cgd4_2053-RA-p1                 0  0 o
cgd4_2070-RA-p1                 0  0 o
cgd4_2080-RA-p1                 4  0 i36-58o64-86i155-179o194-219i
cgd4_2090-RA-p1                 0  0 o
cgd4_2093-RA-p1                 0  0 i
cgd4_210-RA-p1                  0  0 o
cgd4_2100-RA-p1                 1  0 i406-425o
cgd4_2103-RA-p1                 0  0 o
cgd4_2110-RA-p1                 0  Y n8-19c30/31o
cgd4_2120-RA-p1                 0  0 o
cgd4_2130-RA-p1                 0  0 o
cgd4_2140-RA-p1                 0  0 o
cgd4_2150-RA-p1                 0  0 o
cgd4_2160-RA-p1                 0  0 o
cgd4_2170-RA-p1                 1  0 o429-449i
cgd4_2180-RA-p1                12  0 o42-59i183-205o211-230i242-261o273-306i318-338o344-362i369-390o443-461i568-589o609-625i646-663o
cgd4_2190-RA-p1                 1  Y n3-13c17/18o512-533i
cgd4_220-RA-p1                  0  0 i
cgd4_2200-RA-p1                 0  0 o
cgd4_2210-RA-p1                 0  0 o
cgd4_2220-RA-p1                 0  0 o
cgd4_2230-RA-p1                 0  0 o
cgd4_2240-RA-p1                 1  0 i230-254o
cgd4_2250-RA-p1                 0  0 o
cgd4_2260-RA-p1                 0  0 o
cgd4_2270-RA-p1                 2  0 i7-40o52-74i
cgd4_2280-RA-p1                 0  0 o
cgd4_2290-RA-p1                 0  0 o
cgd4_23-RA-p1                   0  0 i
cgd4_230-RA-p1                  1  0 o6-25i
cgd4_2300-RA-p1                 0  0 o
cgd4_2310-RA-p1                 0  0 o
cgd4_2320-RA-p1                 1  0 o622-643i
cgd4_2330-RA-p1                 1  0 i12-33o
cgd4_2340-RA-p1                 1  0 i12-31o
cgd4_2350-RA-p1                 4  0 o20-43i137-160o166-187i207-234o
cgd4_2360-RA-p1                 0  0 o
cgd4_2370-RA-p1                 1  0 o6-26i
cgd4_2373-RA-p1                 1  0 o567-585i
cgd4_2380-RA-p1                 0  Y n15-22c27/28o
cgd4_2390-RA-p1                 0  0 o
cgd4_240-RA-p1                  0  0 o
cgd4_2400-RA-p1                 0  0 o
cgd4_2410-RA-p1                 0  0 o
cgd4_2420-RA-p1                 1  Y n18-29c34/35o559-580i
cgd4_243-RA-p1                  0  0 o
cgd4_2430-RA-p1                 3  Y n8-15c20/21o231-254i533-550o556-575i
cgd4_2440-RA-p1                 1  Y n8-19c24/25o34-55i
cgd4_2450-RA-p1                 1  0 o6-27i
cgd4_2460-RA-p1                 0  Y n3-12c24/25o
cgd4_2470-RA-p1                 3  Y n3-13c20/21o330-354i571-591o597-616i
cgd4_2480-RA-p1                 0  Y n3-14c19/20o
cgd4_2490-RA-p1                 1  0 o178-202i
cgd4_250-RA-p1                  0  0 o
cgd4_2500-RA-p1                 0  Y n6-17c22/23o
cgd4_2510-RA-p1                 1  0 i12-36o
cgd4_2520-RA-p1                 0  Y n5-15c20/21o
cgd4_2530-RA-p1                 1  0 o175-195i
cgd4_2540-RA-p1                 0  0 o
cgd4_2550-RA-p1                 0  0 o
cgd4_2552-RA-p1                 0  0 o
cgd4_2553-RA-p1                 4  0 i21-41o47-65i77-100o112-141i
cgd4_2560-RA-p1                 0  0 o
cgd4_2570-RA-p1                 0  0 o
cgd4_2580-RA-p1                 0  0 o
cgd4_2590-RA-p1                 0  0 o
cgd4_260-RA-p1                  0  Y n23-33c38/39o
cgd4_2600-RA-p1                 0  0 o
cgd4_2610-RA-p1                 0  0 o
cgd4_2620-RA-p1                 0  0 o
cgd4_2633-RA-p1                 0  0 o
cgd4_2650-RA-p1                 0  0 o
cgd4_2660-RA-p1                 0  0 o
cgd4_2670-RA-p1                 6  0 o217-237i584-608o1370-1386i1439-1460o1472-1494i2531-2549o
cgd4_2680-RA-p1                 7  0 i40-60o72-92i99-121o127-148i160-178o184-202i222-244o
cgd4_2690-RA-p1                 4  0 i231-252o1046-1066i1631-1649o1669-1687i
cgd4_2693-RA-p1                 0  0 o
cgd4_270-RA-p1                  0  0 o
cgd4_2700-RA-p1                 0  0 o
cgd4_2710-RA-p1                 0  0 o
cgd4_2720-RA-p1                 8  0 i260-286o292-309i456-477o489-517i1197-1219o1258-1283i1440-1458o1470-1488i
cgd4_2730-RA-p1                 0  0 o
cgd4_2740-RA-p1                 0  0 i
cgd4_2750-RA-p1                 0  0 o
cgd4_2760-RA-p1                 0  Y n3-11c16/17o
cgd4_2770-RA-p1                11  0 i21-43o49-71i118-142o162-180i192-212o224-246i267-291o311-335i466-482o488-513i525-551o
cgd4_2780-RA-p1                 0  Y n4-15c20/21o
cgd4_2790-RA-p1                10  0 o59-78i90-108o128-148i155-174o194-214i226-247o259-278i285-304o316-334i346-367o
cgd4_280-RA-p1                  1  0 o556-573i
